Description,SMARTS
"electrophile [$E1,$E2,$E3,$E6,$E7,$E10,$E12,$E13;!$E4exc;!$E5exc]","[$([C;H1](=[O,S])[C,c]),$([C,P;H1](=[O,S])[O,S]),$([C](=O)([C,c,O,S])[C,c,O,S]),$(C(=[O,S])(N)Oc),$(C1(=O)NS(=O)(=O)[C,c]=,:[C,c]1),$([$(P(=O)[O,S]);!$(P[OH1])]),$([$(c(=O)(~c)~c);!$([$(c1(=O)ccn([C,c])cc1),$(c1(=O)n([C,c])cccc1)])]),$(C(=O)-N-C=O);!$(C(=O)[OH1]);!$(C(=O)[SH1])]"
N1 primary amines,[NH2][CX4]
N2 secondary amines,[NH]([CX4])[CX4]
N4exc,"N=[O,C,N,S]"
N5exc,"N-[C,c,N]=[C,c,N,n,O,S]"
N6,"[OH1][C,c,N;!$(C=O)]"
N7exc,[OH1]C=C
N8exc,"[OH1]NC=[O,S]"
N9,"[$([NH2]!:c),$([NH1]([CX4])!:c),$([NH0]([CX4])([CX4])!:c)]"
"nucleophile [$N1,$N2,$N6,$N9;!$N4exc;!$N5exc;!$N7exc;!$N8exc]","[$([NH2][CX4]),$([NH]([CX4])[CX4]),$([OH1][C,c,N;!$(C=O)]),$([$([NH2]!:c),$([NH1]([CX4])!:c),$([NH0]([CX4])([CX4])!:c)]);!$(N=[O,C,N,S]);!$(N-[C,c,N]=[C,c,N,n,O,S]);!$([OH1]C=C);!$([OH1]NC=[O,S])]"
